狀態,課程名,時間
,滑冰基礎班,2026/06/22(一)｜17:00–18:00
,滑冰基礎班,2026/06/22(一)｜19:00–20:00
,滑冰基礎班,2026/06/22(一)｜20:00–21:00
,滑冰基礎班,2026/06/23(二)｜17:00–18:00
,滑冰基礎班,2026/06/23(二)｜19:00–20:00
,滑冰基礎班,2026/06/23(二)｜20:00–21:00
,滑冰基礎班,2026/06/24(三)｜17:00–18:00
,滑冰基礎班,2026/06/24(三)｜19:00–20:00
,滑冰基礎班,2026/06/25(四)｜17:00–18:00
,滑冰基礎班,2026/06/25(四)｜19:00–20:00
,滑冰基礎班,2026/06/25(四)｜20:00–21:00
,滑冰基礎班,2026/06/26(五)｜17:00–18:00
,滑冰基礎班,2026/06/26(五)｜19:00–20:00
,滑冰基礎班,2026/06/26(五)｜20:00–21:00
,滑冰基礎班,2026/06/29(一)｜17:00–18:00
,滑冰基礎班,2026/06/29(一)｜19:00–20:00
,滑冰基礎班,2026/06/29(一)｜20:00–21:00
,滑冰基礎班,2026/06/30(二)｜17:00–18:00
,滑冰基礎班,2026/06/30(二)｜19:00–20:00
,滑冰基礎班,2026/06/30(二)｜20:00–21:00
,滑冰基礎班,2026/06/27(六)｜09:00–10:00
,滑冰基礎班,2026/06/27(六)｜10:00–11:00
,滑冰基礎班,2026/06/27(六)｜11:00–12:00
,滑冰基礎班,2026/06/27(六)｜12:20–13:20
,滑冰基礎班,2026/06/27(六)｜19:00–20:00
,滑冰基礎班,2026/06/27(六)｜20:00–21:00
,滑冰基礎班,2026/06/28(日)｜09:00–10:00
,滑冰基礎班,2026/06/28(日)｜10:00–11:00
,滑冰基礎班,2026/06/28(日)｜11:00–12:00
,滑冰基礎班,2026/06/28(日)｜12:20–13:20
,滑冰基礎班,2026/06/28(日)｜18:20–19:20
,滑冰基礎班,2026/07/01(三)｜11:00–12:00
,滑冰基礎班,2026/07/01(三)｜12:20–13:20
,滑冰基礎班,2026/07/01(三)｜17:00–18:00
,滑冰基礎班,2026/07/01(三)｜19:00–20:00
,滑冰基礎班,2026/07/01(三)｜20:00–21:00
,滑冰基礎班,2026/07/02(四)｜11:00–12:00
,滑冰基礎班,2026/07/02(四)｜12:20–13:20
,滑冰基礎班,2026/07/02(四)｜17:00–18:00
,滑冰基礎班,2026/07/02(四)｜19:00–20:00
,滑冰基礎班,2026/07/02(四)｜20:00–21:00
,滑冰基礎班,2026/07/03(五)｜11:00–12:00
,滑冰基礎班,2026/07/03(五)｜12:20–13:20
,滑冰基礎班,2026/07/03(五)｜17:00–18:00
,滑冰基礎班,2026/07/03(五)｜19:00–20:00
,滑冰基礎班,2026/07/03(五)｜20:00–21:00
